scenario,target_col,delta_max_days,use_climate,rank,feature,importance
CP_D5_clim,CP,5,True,1,Animals,0.2463349103927612
CP_D5_clim,CP,5,True,2,RAD_SOL,0.144302561879158
CP_D5_clim,CP,5,True,3,GEMI,0.1118250414729118
CP_D5_clim,CP,5,True,4,DM,0.0945292860269546
CP_D5_clim,CP,5,True,5,B9,0.0559643357992172
CP_D5_clim,CP,5,True,6,Radiative_Dif_AVG,0.0415553674101829
CP_D5_clim,CP,5,True,7,DOY,0.0395647957921028
CP_D5_clim,CP,5,True,8,DVI,0.0347842499613761
CP_D5_clim,CP,5,True,9,TP_SFC_AVG,0.0247817933559417
CP_D5_clim,CP,5,True,10,Wind_Dir,0.0182627420872449
CP_D5_clim,CP,5,True,11,Longwave_Rad_AVG,0.0157106425613164
CP_D5_clim,CP,5,True,12,Radiative_Direct_AVG,0.0155059788376092
CP_D5_clim,CP,5,True,13,Biomass,0.0144648011773824
CP_D5_clim,CP,5,True,14,TEMP_MIN,0.0141685111448168
CP_D5_clim,CP,5,True,15,ADF,0.0138042522594332
CP_D5_noclim,CP,5,False,1,Animals,0.2628510892391205
CP_D5_noclim,CP,5,False,2,RAD_SOL,0.1251612603664398
CP_D5_noclim,CP,5,False,3,B9,0.0908111408352851
CP_D5_noclim,CP,5,False,4,DM,0.0829359740018844
CP_D5_noclim,CP,5,False,5,Wind_Dir,0.0673011168837547
CP_D5_noclim,CP,5,False,6,DOY,0.057281881570816
CP_D5_noclim,CP,5,False,7,GEMI,0.0564949586987495
CP_D5_noclim,CP,5,False,8,DVI,0.0333862267434597
CP_D5_noclim,CP,5,False,9,TP_SFC_AVG,0.0223071258515119
CP_D5_noclim,CP,5,False,10,B6,0.0214648749679327
CP_D5_noclim,CP,5,False,11,Radiative_Direct_AVG,0.0197346564382314
CP_D5_noclim,CP,5,False,12,Longwave_Rad_AVG,0.0159354545176029
CP_D5_noclim,CP,5,False,13,Biomass,0.0140265831723809
CP_D5_noclim,CP,5,False,14,ADF,0.0133893825113773
CP_D5_noclim,CP,5,False,15,Radiative_Dif_AVG,0.0099989725276827
CP_D7_clim,CP,7,True,1,Animals,0.3503888249397278
CP_D7_clim,CP,7,True,2,DM,0.0960631594061851
CP_D7_clim,CP,7,True,3,TP_SFC_AVG,0.0578861013054847
CP_D7_clim,CP,7,True,4,TEMP_MIN,0.0528591275215148
CP_D7_clim,CP,7,True,5,DOY,0.050279427319765
CP_D7_clim,CP,7,True,6,RAD_SOL,0.0474067479372024
CP_D7_clim,CP,7,True,7,GEMI,0.0416865982115268
CP_D7_clim,CP,7,True,8,PPFD,0.0390706472098827
CP_D7_clim,CP,7,True,9,B7,0.0271920356899499
CP_D7_clim,CP,7,True,10,Radiative_Dif_AVG,0.0258479323238134
